,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,Kayalpattinam,100,IN,1563661207,70,8.57,78.12,80.8,10.58
376,Nioro,29,GM,1563661209,58,13.79,-15.05,83.5,14.2
377,Mawlaik,96,MM,1563661026,88,23.63,94.42,73.96,3.69
378,Inhambane,82,MZ,1563661211,70,-23.87,35.38,64.06,12.68
379,Abu Zabad,100,SD,1563661212,68,12.35,29.25,78.28,6.31
380,Laguna,75,BZ,1563661116,79,16.17,-88.94,84.2,6.93
381,Chabahar,54,IR,1563661214,77,25.29,60.65,82.24,6.58
382,Vao,0,EE,1563661215,79,59.1,26.19,58.12,4.9
383,Hualmay,41,PE,1563661216,83,-11.1,-77.61,62.26,9.31
384,Ust-Nera,0,RU,1563661218,55,64.57,143.24,43.54,2.44
385,Siderno,5,IT,1563661219,69,38.28,16.3,77.0,3.36
386,Amga,0,RU,1563661220,62,60.89,131.98,51.1,1.39
387,Saquarema,40,BR,1563661221,88,-22.93,-42.51,71.6,11.41
388,Arlit,100,NE,1563661222,35,18.74,7.39,88.54,18.32
389,Sochaczew,0,PL,1563661223,64,52.23,20.24,72.0,6.93
390,Ovalle,100,CL,1563661046,42,-30.6,-71.2,60.82,6.93
391,Goure,23,NE,1563661226,36,13.98,10.27,89.62,11.34
392,Inuvik,75,CA,1563661227,43,68.36,-133.71,73.4,13.87
393,Maniitsoq,21,GL,1563661228,80,65.42,-52.9,48.94,11.92
394,Ihosy,0,MG,1563661229,52,-22.4,46.13,53.8,8.48
395,Velikiy Ustyug,100,RU,1563661231,93,60.76,46.3,55.78,1.63
396,Cap Malheureux,20,MU,1563661232,88,-19.98,57.61,70.0,5.82
397,Port-de-Bouc,0,FR,1563661233,83,43.4,4.98,73.4,3.36
398,Hambantota,75,LK,1563661234,83,6.12,81.12,82.4,5.82
399,Oriximina,0,BR,1563661235,53,-1.77,-55.87,87.1,8.21
400,Coos Bay,1,US,1563661236,72,43.37,-124.22,72.0,24.16
401,Kandrian,100,PG,1563661238,95,-6.21,149.55,73.78,7.56
402,Chapais,90,CA,1563661111,88,49.78,-74.86,64.4,4.7
403,Bronnoysund,0,NO,1563661240,87,65.46,12.2,59.0,3.36
404,Deputatskiy,100,RU,1563661241,65,69.3,139.9,50.2,18.07
405,Waingapu,44,ID,1563661242,94,-9.65,120.26,67.12,10.2
406,Romanovo,99,RU,1563661243,94,56.49,40.39,56.14,6.44
407,Kisangani,90,CD,1563661244,92,0.52,25.21,70.72,1.86
408,Saquisili,75,EC,1563661246,67,-0.83,-78.67,57.2,18.34
409,Alofi,20,NU,1563661247,74,-19.06,-169.92,80.6,11.41
410,Bandiagara,0,ML,1563661248,58,14.35,-3.61,86.0,9.17
411,Balakirevo,67,RU,1563661249,98,56.51,38.84,55.96,5.73
412,Chimbote,0,PE,1563661250,86,-9.08,-78.59,62.8,9.91
413,Kaele,0,CM,1563661251,77,10.11,14.45,76.3,4.85
414,Potosi,24,BO,1563661253,33,-19.59,-65.75,46.06,19.13
415,Marsh Harbour,1,BS,1563661254,69,26.54,-77.06,84.76,8.75
416,Norman Wells,75,CA,1563661255,53,65.28,-126.83,77.0,6.93
417,Jalalpur Pirwala,5,PK,1563661256,43,29.5,71.22,95.74,3.27
418,Hobyo,76,SO,1563661257,73,5.35,48.53,76.66,25.19
419,Alta Floresta,0,BR,1563661258,51,-9.87,-56.08,80.6,2.24
420,Kruisfontein,36,ZA,1563661259,84,-34.0,24.73,42.82,4.74
421,Kununurra,72,AU,1563661261,87,-15.77,128.74,53.6,2.55
422,Sorong,51,ID,1563661262,95,-0.86,131.25,74.5,6.6
423,Umarkot,0,PK,1563661263,48,25.37,69.74,90.52,12.26
424,Finschhafen,80,PG,1563661264,95,-6.6,147.85,64.24,2.13
425,Shingu,100,JP,1563661265,97,33.72,135.99,69.64,5.39
426,Eyl,100,SO,1563661266,65,7.98,49.82,77.56,25.86
427,Lesnikovo,2,RU,1563661268,95,55.28,65.32,63.52,5.37
428,Shimanovsk,80,RU,1563661269,98,52.0,127.67,68.74,9.4
429,Bahia Honda,41,CU,1563661270,74,22.9,-83.16,84.22,12.24
430,Sulangan,96,PH,1563661271,77,11.14,123.72,82.24,3.4
431,Abu Dhabi,0,AE,1563661272,75,24.47,54.37,95.0,3.36
432,Sisimiut,92,GL,1563661273,92,66.94,-53.67,43.36,8.97
433,Olga,1,US,1563661275,57,34.11,-118.17,87.01,9.26
434,Luwuk,85,ID,1563661276,98,-0.95,122.79,62.98,5.08
435,San Luis,100,AR,1563661188,62,-33.3,-66.34,64.78,19.26
436,Slave Lake,1,CA,1563661049,77,55.28,-114.77,68.0,6.93
437,Warrnambool,64,AU,1563661279,80,-38.38,142.48,50.0,5.01
438,Soyo,0,AO,1563661280,82,-6.13,12.37,72.52,6.6
439,Odienne,96,CI,1563661281,92,9.51,-7.57,71.8,4.18
440,Thinadhoo,98,MV,1563661283,76,0.53,72.93,83.14,12.71
441,Gualaquiza,44,EC,1563661284,82,-3.4,-78.58,56.5,7.31
442,Turukhansk,0,RU,1563661285,58,65.8,87.96,54.88,7.0
443,Khorol,0,UA,1563661286,73,49.78,33.27,63.88,1.79
444,Ust-Kuyga,100,RU,1563661287,62,70.0,135.55,54.52,3.78
445,Victoria,75,BN,1563661288,94,5.28,115.24,80.6,8.57
446,Sungaipenuh,89,ID,1563661289,92,-2.08,101.38,70.18,3.8
447,Broome,33,GB,1563661291,82,52.47,1.45,64.4,6.93
448,Aurillac,90,FR,1563661292,73,44.93,2.44,73.4,3.36
449,Riohacha,0,CO,1563661181,46,11.54,-72.91,92.32,19.06
450,Parabel,0,RU,1563661294,58,58.71,81.5,52.36,6.46
451,Port Hawkesbury,1,CA,1563661295,61,45.62,-61.36,82.0,4.7
452,Zasosna,0,RU,1563661296,86,50.63,38.4,61.18,5.57
453,Jan Kempdorp,0,ZA,1563661298,40,-27.92,24.84,36.88,5.57
454,Warrington,0,GB,1563661142,77,53.39,-2.59,63.0,4.7
455,Broken Hill,48,AU,1563661300,32,-31.97,141.45,55.4,10.29
456,Ribas do Rio Pardo,100,BR,1563661301,41,-20.45,-53.76,77.92,8.84
457,Mizdah,0,LY,1563661302,59,31.45,12.98,73.6,17.94
458,Birjand,0,IR,1563661303,17,32.86,59.22,84.2,33.33
459,The Valley,40,AI,1563661305,69,18.22,-63.06,86.0,9.17
460,Coquimbo,100,CL,1563661306,81,-29.95,-71.34,53.6,9.17
461,Moshenskoye,53,RU,1563661307,98,58.52,34.59,55.96,5.37
462,Mantua,0,IT,1563661308,69,45.16,10.79,78.8,3.36
463,Zelezniki,0,SI,1563661309,82,46.23,14.17,75.2,1.12
464,Sola,100,TZ,1563661311,47,-3.17,33.8,74.32,3.96
465,Tsabong,0,BW,1563661312,43,-26.02,22.4,46.6,7.16
466,Atocha,0,AR,1563661313,46,-24.82,-65.48,69.8,8.05
467,Comarapa,100,BO,1563661314,49,-17.91,-64.53,66.58,5.82
468,Naze,71,NG,1563661315,94,5.43,7.07,72.88,3.85
469,Oga,0,IT,1563661317,87,46.46,10.35,57.2,3.36
470,Maku,0,IR,1563661318,55,39.29,44.45,63.88,4.41
471,Vilhena,0,BR,1563661060,48,-12.74,-60.15,82.4,5.82
472,Abu Kamal,0,SY,1563661320,35,34.45,40.92,84.76,18.05
473,Beringovskiy,96,RU,1563661321,71,63.05,179.32,62.26,8.48
474,Itoman,75,JP,1563661322,88,26.12,127.67,82.4,8.05
475,Bay City,75,US,1563661323,82,43.59,-83.89,73.4,9.17
476,Basco,1,US,1563661284,59,40.33,-91.2,95.0,9.17
477,Ketchikan,40,US,1563661326,59,55.34,-131.65,66.2,12.75
478,Ancud,90,CL,1563661327,100,-41.87,-73.83,41.0,6.93
479,Ondjiva,0,AO,1563661328,20,-17.07,15.73,60.28,6.04
480,Ravar,0,IR,1563661329,15,31.27,56.81,72.16,3.65
481,Mnogovershinnyy,100,RU,1563661330,97,53.94,139.92,51.82,7.99
482,La Rioja,91,AR,1563661331,43,-29.41,-66.86,62.08,4.12
483,Kjollefjord,0,NO,1563661332,77,70.95,27.35,52.54,4.32
484,Port Macquarie,0,AU,1563661334,100,-31.43,152.91,48.99,3.36
485,Nuuk,75,GL,1563661335,71,64.17,-51.74,55.4,5.82
486,Walcz,99,PL,1563661336,63,53.28,16.47,66.99,5.68
487,Ukiah,1,US,1563661337,39,39.15,-123.21,91.99,5.82
488,Baytown,75,US,1563661157,55,29.74,-94.98,96.01,14.99
489,Pandan,99,PH,1563661339,74,11.72,122.09,82.6,6.82
490,Artigas,15,BR,1563661341,89,-30.4,-56.46,66.04,9.35
491,Nhulunbuy,94,AU,1563661342,93,-12.18,136.78,60.8,10.76
492,Villa Union,75,BO,1563661343,66,-10.79,-65.46,86.0,1.34
493,Kristiansund,100,NO,1563661344,63,63.12,7.73,64.4,4.7
494,Forotic,0,RO,1563661345,88,45.23,21.59,72.0,1.12
495,Pundaguitan,86,PH,1563661346,76,6.37,126.17,80.8,2.95
496,Chaiyaphum,100,TH,1563661348,90,15.81,102.03,74.86,6.08
497,Xining,100,CN,1563661349,86,36.62,101.77,50.92,3.4
498,De Aar,25,ZA,1563661350,63,-30.65,24.01,36.34,13.09
499,Gardner,1,US,1563661351,50,38.81,-94.93,99.0,11.41
500,Pokhara,33,NP,1563661352,83,28.21,83.99,55.6,3.47
501,Millerovo,0,RU,1563661353,58,48.92,40.39,67.12,3.49
502,Victoria Point,20,AU,1563661355,93,-27.58,153.3,55.99,9.17
503,Lompoc,1,US,1563661221,64,34.64,-120.46,73.99,11.41
504,Bolobo,100,CD,1563661357,62,-2.17,16.23,79.72,2.86
505,High Prairie,48,CA,1563661358,59,55.43,-116.48,72.7,0.67
506,Ulundi,97,ZA,1563661359,58,-28.29,31.43,39.58,10.69
507,Palmares do Sul,0,BR,1563661360,94,-30.26,-50.51,62.01,11.5
508,Charcas,70,MX,1563661362,25,23.13,-101.11,77.74,11.83
509,Gamba,4,CN,1563661363,73,28.28,88.52,40.84,2.66
510,Pauini,85,BR,1563661364,47,-7.71,-67.0,89.62,1.5
511,Demba,0,CD,1563661365,31,-5.47,22.27,71.8,2.24
512,Jinchang,100,CN,1563661366,31,38.52,102.19,71.44,11.54
513,Kaabong,67,UG,1563661367,73,3.51,34.14,65.5,1.03
514,Mazagao,40,BR,1563661368,70,-0.12,-51.29,86.0,8.05
515,Mayo,75,CA,1563661370,47,63.59,-135.9,75.2,9.17
516,Juruti,20,BR,1563661226,51,-2.16,-56.09,86.2,5.1
517,Lerwick,98,GB,1563661372,100,60.15,-1.15,55.4,17.22
518,Larreynaga,83,NI,1563661373,52,12.68,-86.57,93.04,5.64
519,Dunda,0,IN,1563661374,83,30.62,78.32,69.82,5.23
520,Santa Isabel,1,MX,1563661375,10,32.63,-115.58,107.6,9.17
521,San Javier,83,BR,1563661377,81,-27.87,-55.13,66.0,5.61
522,Lake Charles,1,US,1563661378,52,30.23,-93.22,93.0,11.41
523,Yumen,100,CN,1563661379,42,40.29,97.04,72.7,16.22
524,Gat,55,SN,1563661380,74,14.69,-16.54,87.8,8.05
525,Madimba,75,CM,1563661381,94,4.42,9.93,78.8,2.24
526,Nyanguge,20,TZ,1563661383,93,-2.54,33.2,66.2,2.48
527,Le Port,56,FR,1563661384,56,42.87,1.37,77.0,2.59
528,Mezen,100,RU,1563661385,88,65.85,44.24,49.48,7.27
529,Itambacuri,62,BR,1563661386,84,-18.04,-41.68,62.08,0.63
530,Plettenberg Bay,11,ZA,1563661387,80,-34.05,23.37,43.0,5.17
531,Margate,75,AU,1563661389,66,-43.03,147.26,51.01,10.29
